2020-02-29T11:10:50.263_246-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.263_263-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.365_112-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.365_135-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.465_343-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.465_361-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.568_004-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.568_053-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.670_968-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.670_988-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.771_196-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.771_214-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.871_406-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.871_436-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.971_762-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.971_783-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:51.073_487-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:51.073_503-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
